分类,方向,平台,具体玩法,收入,案例来源,可信度,可行难度,备注
AI相关,AI头像/壁纸,闲鱼/小红书/抖音,用Midjourney生成头像/壁纸,9.9-49.9元/个，日入300+,小红书"AI头像工厂",高,⭐⭐⭐⭐⭐,工具免费
AI相关,AI写作/文案代写,淘宝/闲鱼,用ChatGPT/Claude帮写文案,50-200元/篇,淘宝"AI写作工作室",高,⭐⭐⭐⭐⭐,需API成本
AI相关,AI短视频书单号,抖音/快手,AI生成书籍推荐短视频,日入1000+,抖音"读书分享"类账号,中高,⭐⭐⭐⭐,需流量
AI相关,AI数字人直播,抖音/淘宝,AI数字人无人直播带货,月入1-10万,淘宝无人直播,中,⭐⭐⭐,需工具
AI相关,AI换装/修图,闲鱼/小红书,AI修图/换装/老照片修复,9.9-39.9元/张,闲鱼"AI修图"卖家,高,⭐⭐⭐⭐⭐,需求大
程序员技术,Python代做/私活,闲鱼/程序员客栈/猪八戒,接爬虫/数据处理/自动化开发,50-500元/单，日入300+,闲鱼多个卖家,高,⭐⭐⭐⭐⭐,门槛低
程序员技术,简历优化服务,闲鱼/淘宝,帮程序员/产品经理优化简历,99-399元/份，日接3-8单,闲鱼"简历优化师"月入1.2万,高,⭐⭐⭐⭐⭐,你的背景
程序员技术,模板/工具产品化,淘宝/Gumroad,开发通用脚本/模板重复销售,19-99元/份，月销百份,淘宝"Python脚本合集"月销300+,高,⭐⭐⭐⭐,边际成本为0
程序员技术,技术博客/YouTube,掘金/CSDN/YouTube,写技术文章/教程接广告,3000-20000元/月,B站程序员鱼皮50万粉,高,⭐⭐⭐⭐,需积累
程序员技术,付费社群/知识星球,知识星球,建技术交流群收年费,99-399元/人，"Python学习圈"2000人=40万/年,中高,⭐⭐⭐⭐,需积累
国内平台,闲鱼,卖服务/虚拟/二手,代做/模板/倒卖,月入1-2万,多个案例,高,⭐⭐⭐⭐⭐,门槛最低
国内平台,程序员客栈,接项目,Web开发/小程序/API,月入2-4万,全职开发者分享,高,⭐⭐⭐⭐,需登录
国内平台,猪八戒,竞标,软件开发/UI设计,月入3万+,有人专做Python项目,中高,⭐⭐⭐,需注册
国内平台,掘金/知乎,写文章,技术文章/广告,月入1万+,知乎大V,中高,⭐⭐⭐⭐,需积累
国内平台,小红书,卖服务,头像/壁纸/修图,月入2万+,AI头像博主,高,⭐⭐⭐⭐,需流量
国外平台,Upwork,远程自由职业,各类开发工作,$50-100/小时,Python开发者,高,⭐⭐⭐⭐,需英语
国外平台,Fiverr,卖微服务,AI Portrait等,$15-30/个,Fiverr平台,高,⭐⭐⭐⭐,需英文
国外平台,Gumroad,卖数字产品,SaaS Starter Kit等,月销$5000+,Gumroad榜单,高,⭐⭐⭐⭐,需产品
国外平台,Product Hunt,发布独立产品,小工具/SaaS,月入$1000+,多个案例,中,⭐⭐⭐⭐,需产品
国外平台,YouTube,教程/评测,编程教程,月入$2000+,编程教程频道,高,⭐⭐⭐⭐,需积累
偏门方向,特定人群服务,留学生/老年人,作业代写/手机教学,500-2000元/单,市场需求大,中,⭐⭐⭐,需特定技能
偏门方向,信息差套利,国内外,商品/门票差价,不稳定,需本金,中,⭐⭐⭐,有风险
偏门方向,小众稳定,宠物殡葬/老年陪诊,新兴行业,时薪100-200元,一线城市需求大,中,⭐⭐⭐,需积累
新机会,MCP服务开发,程序员客栈,企业定制MCP服务,1000-5000元/项目,GitHub 82k stars,高,⭐⭐⭐⭐⭐,2025新风口
新机会,AI Agent定制,私单/平台,为企业定制AI Agent,2000-10000元/个,帮助企业搭建客服,高,⭐⭐⭐⭐,需求增长中
新机会,Cursor教程,小红书/B站,教人使用AI编程工具,99-299元/课程,B站教程播放量高,高,⭐⭐⭐⭐,门槛低
新机会,OpenClaw部署服务,私单,帮部署OpenClaw,200-500元/次,新工具需求,高,⭐⭐⭐⭐⭐,你的优势
新机会,Prompt Engineering,PromptBase/淘宝,卖优质提示词,9.9-99元/套,PromptBase平台,中,⭐⭐⭐⭐,边际成本为0
新机会,AI语音合成,私单,定制语音/AI配音,50-200元/分钟,CosyVoice等工具,中,⭐⭐⭐⭐,新工具
